"","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","module","type"
"48","DLGAP3",1.31844728314064,8.93478223622215,37.0261908080516,9.43760762200387e-233,7.71581969486755e-232,521.450687383901,8,"a"
"49","DLX2",1.35751653143352,7.07423723552005,19.9712028799942,1.46272609650665e-81,4.05882274461118e-81,174.178393111544,84,"a"
"50","DLX6",1.27773704752524,7.48321015452221,19.5775008641225,1.08342720246424e-78,2.91464525093109e-78,167.510514097235,14,"a"
"51","DNER",1.35816576689855,9.06426372600749,42.3088838092272,2.26049914521336e-285,2.76539895429021e-284,642.547351160098,2,"a"
"52","DPP10",2.68840872056538,8.08978334501214,55.2891142007556,0,0,943.181125405499,5,"a"
"53","DPP4",-1.17484901863283,8.51840159651354,-44.9255962028754,1.00317777833883e-311,1.50118388972844e-310,703.302618129162,4,"a"
"54","DPP6",1.43944533473301,9.00927878288941,42.5535142731686,7.8574318634148e-288,9.68312926697295e-287,648.241535571704,5,"a"
"55","DPYS",1.43747470357014,7.34628695502182,28.4974277083354,6.8796725828361e-152,3.12475101594398e-151,335.824597343631,4,"e"
"56","DRD1",1.9558594542724,8.01278500348585,40.1121700548693,2.31826428983102e-263,2.44365468538162e-262,592.180326061,6,"a"
"57","DRD2",1.11112162395052,8.47559027798789,26.1191338662966,6.62151683340211e-131,2.64860673336084e-130,287.248219190307,6,"a"
"58","DSCAM",2.78251061305131,8.03625166613733,62.084691567751,0,0,1096.77784535464,2,"a"
"59","DYDC2",2.327431838848,6.85420037129404,36.9181312678725,1.09109367058754e-231,8.70796662811772e-231,519.50473867434,92,"a"
"60","ELAVL2",2.2921617504338,8.24267300147802,48.0537457283689,0,0,776.122544661884,16,"a"
"61","ELAVL3",2.30031508097478,8.69373781659991,97.0736492881847,0,0,1804.08280095125,2,"a"
"62","ELOVL2",1.31318589069037,8.73069195466022,32.3523604798221,1.51003034281708e-187,8.72693398124627e-187,417.482502103584,95,"a"
"63","ELOVL4",1.06293625511374,8.84760980714469,36.8867187910946,2.22198681970681e-231,1.75662731595689e-230,518.283408321153,96,"e"
"64","EMX2",1.04113071402802,8.6154254119797,21.5870727855271,9.74347954579504e-94,2.96910394886409e-93,201.721236920456,1,"e"
"65","EPHA5",2.2016886895255,8.00972629882223,46.779852667098,0,0,746.575805198828,2,"e"
"66","ERBB4",1.16300011660023,8.92867719781146,29.3736099177969,7.86528823041152e-160,3.88856137881112e-159,353.619074019588,2,"e"
"67","ERMN",1.0500507993724,9.22142976734138,32.5544525051984,1.83253406776982e-189,1.07389059356022e-188,421.62088067808,100,"a"
"68","FAM92B",1.54176765404101,6.66878960891496,25.9658240148922,1.3874012620537e-129,5.47125768282825e-129,284.625844290116,103,"a"
"69","FEZF2",3.04631913134522,6.93539213210234,43.4661166767644,5.15339099042927e-297,6.74772132809333e-296,669.833381419004,5,"a"
"70","FGF12",1.35531580912556,8.83545180519929,36.9121143248967,1.25034918889045e-231,9.93168360464644e-231,518.909657819458,5,"e"
"71","FGFR2",1.17774801422858,9.08014911409247,38.9901763912492,3.50635099756488e-252,3.39690420342124e-251,566.096334642734,2,"e"
"72","FGFR3",1.0004307361417,9.25545508785516,39.6058317554769,2.60962840894447e-258,2.65074982629754e-257,580.060679496575,2,"e"
"73","FMN2",1.63703979099632,8.77342287156068,38.3610577858208,6.16525461395077e-246,5.67745424889093e-245,551.892766815142,110,"e"
"74","FOLR1",1.10914070784128,7.71356679224717,25.851816732798,1.3246579816159e-128,5.21156520466723e-128,282.196547853664,5,"e"
"75","FOXG1",2.29405636696601,7.58165953404671,29.021802466833,1.25082178369559e-156,5.97258492727582e-156,346.675976051156,1,"c"
"76","FRMPD4",2.18523457286632,8.21243029997308,46.5909959532016,0,0,742.146651188836,6,"a"
"77","FRRS1L",2.11572171012684,8.62103435254525,45.2918264614696,2.027263616364e-315,3.14601279726465e-314,711.907215458378,3,"e"
"78","FSTL5",2.38519134369991,8.20011334156777,45.3885018338891,2.14552818905952e-316,3.39236343855071e-315,714.222642820131,111,"e"
"79","GABBR2",2.14755748728776,8.53770795982379,44.969331378687,3.63271596005222e-312,5.48507382797057e-311,704.430085258549,6,"c"
"80","GABRA1",3.16260246339589,7.99446643218718,54.6506758036542,0,0,928.586857510321,17,"e"
"81","GABRA3",2.97714101889195,7.78793977631173,63.5488725729124,0,0,1129.3237480473,17,"a"
"82","GABRA4",2.4772507287909,8.11310269854783,45.0907715607246,2.16383093687713e-313,3.32713821119637e-312,707.324636261242,17,"a"
"83","GABRA6",2.40373059463055,7.27304314392666,46.1420004563138,0,0,731.898365200643,17,"e"
"84","GABRB1",3.04920730713014,7.36025744986871,92.4582193578869,0,0,1719.30901436357,17,"e"
"85","GABRB2",1.70128797873539,8.690684693046,35.028568828248,3.18976051863832e-213,2.26527060560925e-212,476.620050334103,17,"e"
"86","GABRB3",1.50443083575288,8.84330672174349,38.1028705165062,2.22564882891563e-243,2.00547711680785e-242,545.972952604862,17,"c"
"87","GABRD",1.73521023821585,8.69172916129564,37.403633682248,1.80535464146964e-236,1.51288718955156e-235,530.127747935078,17,"e"
"88","GABRG2",3.27568697267667,7.93769423861575,59.2972057776451,0,0,1034.30158735512,17,"e"
"89","GABRG3",3.0879684038311,7.49467252845178,67.4047138665275,0,0,1213.87603690932,17,"a"
"90","GAD1",1.90156594211879,8.67280222525011,44.714054413429,1.3644129860287e-309,1.98848362137747e-308,698.465900190422,4,"e"
"91","GALNT13",2.29395013580465,8.35511274598019,52.7798558886995,0,0,885.503132349538,18,"a"
"92","GATA6",-1.17282315739598,7.95051806041557,-32.2917090927481,5.66487804378162e-187,3.26265828226048e-186,416.385417491152,1,"e"
