Table S17. Top 200 genes with burden of deleterious URVs in all epilepsy cases (AC=1),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Gene,Ncase_carrier,Ncase_ptv,Ncase_mis,Ncase_infrindel,Ncase_noncarrier,Ncontrol_carrier,Ncontrol_ptv,Ncontrol_mis,Ncase_infrindel,Ncontrol_noncarrier,OR,Pval_obs,pli,misZ,ee_dom50,epi_id_top33,epi_dom43,brain,gabaaRec_19,gabaaergic_113,excitatoryRec_34,volIonChl_86
KAT5,11,1,10,0,9159,2,1,1,0,8434,5.064635877,0.023874855,0.290800291,4.427256297,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRIOBP,11,9,0,2,9159,2,1,0,1,8434,5.064635877,0.023874855,1.35E-12,-0.841500995,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
L3MBTL4,0,0,0,0,9170,5,5,0,0,8431,0,0.025241268,8.03E-08,-1.60508726,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MAP3K4,0,0,0,0,9170,5,1,4,0,8431,0,0.025241268,0.9999995,2.321210914,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TCTE1,0,0,0,0,9170,5,5,0,0,8431,0,0.025241268,1.36E-07,1.029576135,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MYO5C,0,0,0,0,9170,5,5,0,0,8431,0,0.025241268,1.37E-13,-0.53048799,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRMT61B,0,0,0,0,9170,5,5,0,0,8431,0,0.025241268,1.86E-06,-0.587439639,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ZNF668,0,0,0,0,9170,5,1,4,0,8431,0,0.025241268,0.585578307,4.779559494,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RBM4,0,0,0,0,9170,5,0,2,3,8431,0,0.025241268,0.932619214,3.418792319,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HPS3,0,0,0,0,9170,5,5,0,0,8431,0,0.025241268,2.37E-13,-0.326726555,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MED12,0,0,0,0,9170,5,0,5,0,8431,0,0.025241268,0.999999991,6.798716737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LY75-CD302,0,0,0,0,9170,5,4,0,1,8431,0,0.025241268,8.31E-26,-1.538997001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
KCNT2,0,0,0,0,9170,5,2,3,0,8431,0,0.025241268,0.890317489,3.410130799,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RECK,0,0,0,0,9170,5,5,0,0,8431,0,0.025241268,0.007601362,0.524283295,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LASP1,0,0,0,0,9170,5,1,4,0,8431,0,0.025241268,0.82922482,2.736416867,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CC2D1A,0,0,0,0,9170,5,5,0,0,8431,0,0.025241268,0.000749865,0.657811865,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SPAST,0,0,0,0,9170,5,1,4,0,8431,0,0.025241268,0.99861752,1.499469938,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
STOX1,0,0,0,0,9170,5,5,0,0,8431,0,0.025241268,5.83E-07,-0.613706325,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
RNF168,0,0,0,0,9170,5,5,0,0,8431,0,0.025241268,3.47E-08,-1.062741589,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
THSD7A,0,0,0,0,9170,5,4,0,1,8431,0,0.025241268,0.998303946,-2.149134065,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LRIG2,3,3,0,0,9167,11,10,0,1,8425,0.250652042,0.029647356,1.29E-10,0.203644176,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DNAH17,8,0,0,0,9162,18,0,0,0,8418,0.408353344,0.031613198,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CEPT1,6,0,6,0,9164,0,0,0,0,8436,Inf,0.032039291,0.922226176,2.064251445,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GAL3ST3,6,0,6,0,9164,0,0,0,0,8436,Inf,0.032039291,8.46E-07,3.338173398,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
