"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KCNQ3",1.27019422007525,11.4037483497511,34.0094216308401,2.40997799417207e-203,1.66977046739065e-202,453.61992622485
"LGI1",1.44020898650002,11.3452720898376,33.8968630950503,2.91403673151426e-202,1.97205741597826e-201,451.198695792738
"HECW2",0.408110189990926,11.7222700230305,33.600124309989,2.05586998816386e-199,1.35967765126291e-198,443.959560068081
"ASXL3",1.36876021294934,10.8298195164855,33.4941789286417,2.12874249443876e-198,1.3765868130704e-197,442.454042725778
"LRRC4C",1.45437518597043,11.0945164455046,33.0039643372566,1.02773119678872e-193,6.50151691881561e-193,431.608380700417
"LRRFIP2",-0.115666418653834,12.1684877136455,-32.0296080530002,1.79002795230638e-184,1.10829390238544e-183,409.191328598102
"MKX",1.16018699077665,10.699954411054,31.54664878884,6.27026680770533e-180,3.80134925217135e-179,399.993644749401
"PPARG",-0.302429123872945,11.5220274321101,-31.3164468369346,9.0054336728114e-178,5.34812489548596e-177,394.28323282588
"CYP4F11",1.23998346622656,10.9111050049161,31.1504394715846,3.20997080469908e-176,1.86820300833487e-175,391.394556601639
"ATXN7",-0.208562665740481,11.9784106610473,-30.6403246931563,1.80231111285467e-171,1.02837751733472e-170,379.27601978269
"STOX1",1.02192691692949,11.3491429691024,30.2591465621053,6.09065675933047e-168,3.40842522493301e-167,372.105890099857
"POLR3C",-0.175446799496607,11.8093920222631,-30.0940757483892,2.02931035897379e-166,1.11420625370071e-165,367.747132131091
"TSPAN11",1.03856070424125,11.260938021496,29.3450050026676,1.49203937906918e-159,8.04043443165057e-159,352.86721553124
"CADM4",0.403360674832515,12.0401503505971,28.8090260267965,1.10019460417507e-154,5.82102963299899e-154,340.71572889109
"DPYSL2",0.29549561285769,12.2789399142389,28.3150837090856,3.10559794070798e-150,1.61380178704647e-149,330.413612175757
"INPPL1",-0.269381145782353,12.2069828845855,-28.0674633177467,5.1305564896632e-148,2.61928410261753e-147,325.305987529559
"KIAA1919",-0.206920744452743,11.4240942336336,-28.0026738239431,1.94546200773282e-147,9.76085248707327e-147,324.612200485692
"SLC7A9",0.777501818671574,10.6961423506001,27.3806204872496,6.52591989884648e-142,3.16507115094054e-141,312.534091154037
"ANK2",0.56917870731123,12.0887548221352,27.4039326718983,4.06096232204364e-142,2.00294921307576e-141,311.83520984374
"GTPBP2",-0.210109545993348,12.0526665863983,-27.0245893329081,8.91980846915181e-139,4.25518731889046e-138,304.039946353217
"SRPR",-0.232460021184628,12.1800432100243,-26.9345044185839,5.50281599106849e-138,2.58277331193698e-137,302.227343778431
"EIF3G",-0.245413549636996,12.2146137444063,-26.6330702112164,2.37273453296826e-135,1.09597737951391e-134,296.169124686486
"IQGAP2",-0.667691986372999,11.3928842217811,-26.5218572134125,2.20569391543217e-134,1.00290145217306e-133,294.640081091024
