module,gene
3,KCNC3
3,KCNAB2
3,OTUD7A
3,NPRL2
3,PRICKLE1
3,CHD2
3,KCNQ2
3,KCND2
3,FGF12
3,CACNA1F
3,KCTD3
3,KCNT1
3,KCNK7
3,GPHN
3,SZT2
3,RBM10
3,ACHE
3,TRPM1
3,SCN5A
3,GABRG2
3,CHRNB3
3,CNTN2
3,CSTB
3,KCNMA1
3,ATP1A1
3,MBD1
3,GABRA4
3,DPP10
3,GABRA1
3,CHRFAM7A
3,CHRNA4
3,SGCE
3,CUX2
3,MPDZ
3,KCNJ15
3,ATP1A2
3,DMPK
3,GPR98
3,TRPM6
3,JRK
3,GABRG3
3,CALM2
3,AKAP9
3,GABRB2
3,GABRA6
3,GABRD
3,CHRNA2
3,CACNB2
3,HCN1
3,ANK3
3,CHKB
3,ATP2B2
3,BCORL1
3,CACNA2D1
3,PCDH10
3,GABRB3
3,ARHGEF9
3,HTR3C
3,KCNH5
3,SCN2A
3,KCNQ1
3,LGI1
3,KCNB1
3,SCN1A
3,KCNV2
3,CTTNBP2
3,RYR1
3,KCNQ3
3,ANK2
3,FAT4
3,CACNG2
3,MLC1
3,EFHC1
3,DPP6
3,CACNA2D2
3,CACNA2D3
3,CLCN2
3,SNTG2
3,XK
3,SCN4A
3,CACNA1G
3,CACNA1I
3,KPTN
3,WNK3
3,HTR3A
3,KCNJ10
3,KCND3
3,KCNAB1
3,NRCAM
3,RYR3
3,TANC2
3,KCNC1
3,SCN9A
3,ORAI1
3,ATP1A3
3,KCNN3
3,SACS
3,CACNA1H
3,PLN
3,HCN4
3,PCDH15
3,TOR1A
3,UNC79
3,ABCA7
3,SCN3A
3,KCNH1
3,TLK2
3,GLRA2
3,KCNS3
3,CACNA1C
3,NEXMIF
3,FAT1
3,ARV1
3,ADAM22
3,USH2A
3,KCNE1
3,KCNA2
3,SSPO
3,NFE2L3
3,KCNJ2
3,CACNA1E
3,CACNA1A
3,CACNA1B
3,CAV3
3,CHRNB2
3,SCN1B
3,CACNA1D
3,UNC80
3,NALCN
4,HOXD10
4,CNNM2
4,MBD5
4,LNPK
4,ABCC8
4,TAF1
4,TBP
4,KANSL1
4,AGO1
4,PBX1
4,SMARCA2
4,NUAK1
4,SETD2
4,KDM1B
4,KDM6A
4,SKI
4,BRD4
4,EP400
4,CCNK
4,CHD3
4,PRKDC
4,MEIS2
4,TDP2
4,SETD5
4,USP7
4,MLLT3
4,SSRP1
4,CHD1
4,WAC
4,CPA6
4,SMARCE1
4,LMX1B
4,TET2
4,SIN3A
4,ARID1A
4,ADNP
4,ASXL1
4,NSD1
4,VDR
4,AGO3
4,DNMT1
4,PAX5
4,INO80
4,NFIB
4,ACTL6B
4,MYOCD
4,KAT6A
4,KDM3B
4,PHF6
4,ELP4
4,HOXD9
4,TDP1
4,PHF21A
4,FAN1
4,MBD3
4,TAF1C
4,BTAF1
4,CYP27B1
4,DLX3
4,H2BC11
4,JMJD1C
4,HOXD3
4,YEATS2
4,INTS1
4,PHF8
4,ZMYND8
4,RB1
4,ATN1
4,SASH1
4,LEO1
4,XPC
4,KCNJ11
4,POGZ
4,BRCA2
4,ERG
4,HOXD1
4,APBB1
4,MBD6
4,ERCC6
4,PCDHA2
4,HOXD11
4,SMARCC2
4,ATRX
4,PHF2
4,ARID1B
4,CHD4
4,KDM4B
4,KDM5C
4,EPC2
4,POLR3B
4,SRCAP
4,PDX1
4,SMARCA4
4,DNMT3A
4,HOXA1
4,SETDB1
4,SON
4,HOXD4
4,TELO2
4,BRD2
4,EHMT1
4,MBD4
4,WHSC1
4,NFIX
4,AGO4
4,INTS6
4,TAF6
4,NGLY1
4,SETDB2
4,GATAD2B
4,HOXD8
4,SMARCB1
4,KMT5B
4,KMT2E
4,SETD1B
4,PHF3
4,KMT2A
4,MNT
4,JARID2
4,KMT2C
4,NF1
4,YY1
4,CCNG1
4,GCK
4,ASH1L
4,CHD1L
4,TOP3B
4,TTI2
4,FTO
4,HMGN1
4,KDM4C
4,BAZ2B
4,CHN1
4,HOXD13
4,CUL4B
4,NFIA
4,UIMC1
4,KDM6B
4,ARID2
4,HOXD12
5,MCM8
5,SYNE1
5,VIL1
5,SMC3
5,CALN1
5,NBEA
5,PAFAH1B1
5,EXOC3
5,TUBB4A
5,CC2D2A
5,CHMP1A
5,BBS4
5,CDK13
5,TERF2
5,TBC1D31
5,CSNK1E
5,GPD2
5,TBCD
5,PCM1
5,WDFY4
5,ATXN10
5,TUBA3E
5,POLA2
5,MYO5C
5,RANGAP1
5,KIF3C
5,CEP135
5,TECPR2
5,MCM9
5,SMC1A
5,MEGF11
5,NINL
5,KIF5C
5,WDR62
5,DMWD
5,TUBGCP5
