,0,1,2,3,4,5,6,7,8,9,10,11,12,13
HP:0000025,1.094940138292882,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.359823992755621,-0.0,0.2634886410485362,-0.0,-0.0,-0.0
HP:0000026,0.16586735749135362,-0.0,0.00380760265357045,0.19414064932796624,-0.0,-0.0,-0.0,-0.0,1.6324494650750747,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000027,2.2704543807809054,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7952551887515804,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000028,21.00580908361275,1.2183444648245443,0.652880530455166,32.65907168620549,5.443241262220096,3.450508022143977,7.368321332667098,0.9367035853355734,0.10443390139634026,0.24388917974559599,-0.0,4.034345539440546,-0.0,0.6690301145134118
HP:0000029,0.5249518438281062,0.2902670883911629,0.3497113828084318,-0.0,-0.0,-0.0,-0.0,-0.0,0.372767685669248,-0.0,-0.0,-0.0,-0.0,0.37772529428455215
HP:0000030,1.382098143468272,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000031,1.0101698211465315,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000032,21.61473164625965,1.7579176628349609,1.6519955327856273,28.232329660982657,7.875084759984268,5.472268637729834,8.049990360287316,0.272811484047671,0.36824968146044185,0.9485265357839069,-0.0,5.308856970156641,-0.0,0.26446786562612057
HP:0000033,-0.0,0.2902670883911629,-0.0,-0.0,0.3969583702922023,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000034,1.8707490553784842,0.13904603594327464,-0.0,1.2832971879367179,-0.0,-0.0,0.26730126200030385,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.26484851450364305
HP:0000035,20.820764539559537,1.2660926031644935,0.6736729659072297,28.430608145997976,6.51818515139469,2.911614536509563,6.469593911468627,0.5273692677236657,0.3313783205842251,0.8927735330244733,-0.0,3.8413034563815485,-0.0,0.40236985719408985
HP:0000036,13.685578524062743,0.5976732941104136,0.5095146584558852,11.736313582087684,5.810265537524354,3.71907239198081,6.985834013852161,-0.0,0.15544083045480497,0.6331396359933412,-0.0,5.087043739609728,-0.0,0.7329452858883526
HP:0000037,0.1515849388907954,-0.0,-0.0,0.1784054882743612,2.7998798025612093,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000039,1.6914599047191814,0.09217256294532189,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000040,1.4818502711463828,-0.0,0.40235780991874853,-0.0,-0.0,-0.0,-0.0,-0.0,0.41660695061208963,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000041,-0.0,0.2698740448415239,-0.0,-0.0,-0.0,-0.0,-0.0,0.41394124785846853,-0.0,-0.0,-0.0,-0.0,-0.0,0.36442808167713026
HP:0000042,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000044,2.758710613695831,-0.0,-0.0,0.5308761239790128,0.04583908821393161,-0.0,-0.0,0.126705534721723,0.5813116660057711,-0.0,-0.0,1.7950903651664565,-0.0,0.30353281330745374
HP:0000045,6.904355925739966,-0.0,1.4091001311260412,3.2781941088699873,-0.0,1.1486061341181557,2.1268356687750503,0.17820040500606973,-0.0,-0.0,-0.0,4.039275866064275,-0.0,-0.0
HP:0000046,0.9229148866463956,-0.0,-0.0,1.361032389237927,-0.0,2.353830013071347,1.502058354663158,-0.0,-0.0,-0.0,-0.0,3.1137063198932062,-0.0,-0.0
HP:0000047,11.161992702146696,2.245607979618619,-0.0,8.90935425145737,2.2137834971577903,0.24166109161940016,1.9790009306413694,-0.0,-0.0,0.6334691242167799,-0.0,2.3046704790134367,-0.0,-0.0
HP:0000048,1.5021553653792872,0.6418131486555901,0.08007462141669523,0.27255055490481034,-0.0,-0.0,-0.0,-0.0,0.1468956383871146,-0.0,-0.0,-0.0,-0.0,0.174386412087844
HP:0000049,3.1168558020915693,-0.0,0.2306586179467932,0.42875348053342627,-0.0,-0.0,0.3119398043379023,0.31544063312678217,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000050,6.184437783799783,-0.0,0.640789825670992,10.628629876249002,6.571115534270029,4.180940267859412,5.304544251901877,0.051390417975219,1.071188243782049,-0.0,-0.0,5.206128090530865,-0.0,0.1314407744136013
HP:0000051,0.7790857904600061,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000053,1.1871262737092583,-0.0,-0.0,0.4651631049288386,-0.0,4.438036208293147,-0.0,-0.0,0.3028068565122832,0.33365460631388877,-0.0,0.4526094996943317,-0.0,-0.0
