module,gene
3,NGFRAP1
3,CEP290
3,AIFM1
3,RANBP2
3,PHIP
3,AHI1
3,KIF4A
3,CTC1
3,INTS6
3,ZWILCH
3,DCX
3,CCSER1
3,STAG1
3,CSNK1G1
3,SASS6
3,PCDH15
3,PRICKLE2
3,TUBB2A
3,COL4A3BP
3,PTK7
3,TLK2
3,CEP41
3,UBN2
3,TUBG1
3,IQGAP3
3,PURA
3,PPP2R1B
3,MCPH1
3,ARHGAP11B
3,RAD21
3,KIF14
3,CCNG1
3,USH2A
3,THOC2
3,ASPM
3,NSMCE3
3,DISC1
3,PPP2CA
3,TUBB3
3,NDE1
3,PPP2R5D
4,SPTLC2
4,ETFB
4,GLYCTK
4,ADK
4,ABCC8
4,DPYD
4,MTHFR
4,GDA
4,DLD
4,THAP1
4,MTFMT
4,LARS2
4,HEG1
4,PSPH
4,CPS1
4,PSAT1
4,FARS2
4,GTPBP3
4,AGMO
4,AUH
4,HSD17B10
4,NARS2
4,UPB1
4,ALDH4A1
4,MCCC1
4,ACADSB
4,NAT8L
4,GUF1
4,TRMT10A
4,DHTKD1
4,ASMT
4,HIBCH
4,GPX4
4,SPR
4,ACADS
4,ALDH18A1
4,GAMT
4,MMADHC
4,AMPD1
4,AMT
4,MMAA
4,CAD
4,TXN2
4,PDHX
4,EARS2
4,NFIB
4,OPLAH
4,GATM
4,ADSS2
4,SGCE
4,ABAT
4,PCCB
4,ITGB1BP1
4,CARS2
4,PRODH
4,PDK2
4,KRIT1
4,GAD1
4,ADSL
4,PDE1C
4,GPX1
4,ALDH5A1
4,PHGDH
4,BCKDHA
4,PAH
4,CTH
4,KCNJ11
4,AASS
4,FTSJ1
4,PDHA1
4,ALDH1A3
4,PCDHA2
4,DHFR
4,HADHA
4,MATN4
4,ADA
4,TPO
4,GLDC
4,GUCY1A3
4,POLR3B
4,GUCY1A2
4,SLC46A1
4,DARS2
4,SNTG2
4,PCCA
4,SLC6A8
4,PC
4,NFIX
4,PUS3
4,BCKDK
4,OCA2
4,AIMP1
4,MCCC2
4,GCH1
4,MTR
4,ATIC
4,QDPR
4,ME2
4,VARS2
4,TDO2
4,TOR1A
4,TRIM33
4,KARS
4,ITPA
4,PDE10A
4,HADHB
4,ADORA2A
4,QARS
4,ASNS
4,GCK
4,GLUL
4,SOD1
4,DPP4
4,PNPO
4,AARS
4,ALDH7A1
4,ACSF3
4,GSTM1
4,AMPD2
4,MTO1
4,ACMSD
4,NFIA
5,KCNA1
5,COG6
5,ICA1
5,CDKL5
5,NHS
5,ZNF804A
5,SGSM3
5,CACNB4
5,SEC24D
5,KCNMB3
5,SCNM1
5,RAB18
5,SATB2
5,RAB2A
5,SCN8A
5,HCN2
5,KCNH2
