,0,1,2,3,4,5,6,7,8,9,10,11,12
HP:0000131,-0.0,-0.0,-0.0,1.5478835461422635,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000132,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000133,2.070084732439927,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000134,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7037453411857203,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000135,0.6017172495759253,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7030869493347243,-0.0,0.12464129446305987,-0.0,-0.0,-0.0
HP:0000136,1.420884078570524,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000137,2.4184981991226433,-0.0,-0.0,0.797817927991244,-0.0,-0.0,-0.0,0.9535833748712561,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000138,2.7398715230725705,-0.0,-0.0,1.5829167992713562,-0.0,-0.0,-0.0,0.47306924504753123,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000140,2.346185768003955,-0.0,-0.0,0.7641182113747841,-0.0,-0.0,-0.0,-0.0,-0.0,0.25572816954661814,-0.0,-0.0,-0.0
HP:0000141,1.8711426371754158,-0.0,-0.0,0.1895294808040766,-0.0,-0.0,-0.0,-0.0,-0.0,0.33854655593597965,-0.0,-0.0,-0.0
HP:0000142,0.5489599704574774,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.48535950662205773,-0.0,0.15705943951769677,-0.0
HP:0000143,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.8943657143385931,-0.0,-0.0,-0.0
HP:0000144,0.23483387528843444,-0.0,-0.0,0.7527530594271549,-0.0,-0.0,-0.0,0.14758626688648335,-0.0,0.2504569707316791,-0.0,-0.0,-0.0
HP:0000147,2.852371563490743,-0.0,-0.0,0.5223981231520883,-0.0,-0.0,-0.0,0.49610271840997794,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000148,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000149,1.2027853727616,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000150,1.046423660816556,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000151,1.0751625842614203,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000152,4.595055716012244,6.690878591583466,-0.0,6.0492160748520005,0.34151016409726986,-0.0,1.8426888209189227,1.5682841214598484,-0.0,2.143419127429095,-0.0,-0.0,-0.0
HP:0000153,5.403324006794701,5.427048522805542,-0.0,6.173308071580821,-0.0,-0.0,1.860421421757706,0.8310458549521084,-0.0,2.665732845107338,-0.0,-0.0,-0.0
HP:0000154,4.096719140839787,1.8211260256699797,-0.0,0.22744937832030687,-0.0,-0.0,1.2832722257907578,-0.0,-0.0,2.3589409591920054,-0.0,-0.0,-0.0
HP:0000155,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.04641214259137617
HP:0000157,1.9943523606072602,1.8436285732398732,-0.0,-0.0,0.14834771764704738,-0.0,-0.0,-0.0,-0.0,0.1781899516030302,-0.0,-0.0,-0.0
HP:0000158,2.1413664341611094,0.11849834087448423,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
